"track_id"	"time"	"bpm"	"speed"	"elev"	"s"	"track_id_seq"
"8111"	46	7500	142	24.080336698368	105.2345	240	34
"8112"	46	7530	131.309027777778	25.3551509182653	104.080940515916	240	34
"8113"	46	7560	131	38.214212053825	94.16	240	34
"8114"	46	7590	129.6	27.2061407854801	96.420141509434	240	34
"8115"	46	7620	134	31.6258716016764	94.83	240	34
"8116"	46	7650	133.6875	31.4699054024443	94.02196509942	240	34
"8117"	46	7680	143	29.1867637543888	95.5	240	34
"8118"	46	7710	148.0625	31.03973643415	97.5446666666667	240	34
"8119"	46	7740	147	27.0748437867192	100.03	240	34
"8120"	46	7770	151.5	23.6913656944582	103.465256916996	240	34
"8121"	46	7800	148	24.6420500800666	105.42	240	34
"8122"	46	7830	142.052083333333	19.8067206818289	108.40640625	240	34
"8123"	46	7860	146	23.5624004173768	109.94	240	34
"8124"	46	7890	128	25.4302999530763	105.592301960784	240	34
"8125"	46	7920	107	35.0246175792511	90.59	240	34
"8126"	46	7950	105.58828125	16.1505363898565	86.4172326481865	240	34
"8127"	46	7980	106.675	35.1478999713897	67.8235429499699	240	34
"8128"	46	8010	104.75	14.3724802604703	65.4315331010453	240	34
"8129"	46	8040	97.4473684210526	13.2432844195261	65.0872359203297	240	34
"8130"	46	8070	116.05859375	20.2517398987648	65.6598411885246	240	34
"8131"	46	8100	114.080357142857	19.5919794601772	65.1605026259742	240	34
"8132"	46	8130	111.125	17.5491539897405	65.8932116676525	240	34
"8133"	46	8160	120.75	23.6237118792531	64.1024857217996	240	34
"8134"	46	8190	121.5	20.4779398150662	65.0852227398061	240	34
"8135"	46	8220	115.564285714286	12.2434081685017	65.9406744071146	240	34
"8136"	46	8250	110	14.9096881504689	64.8528233082707	240	34
"8137"	46	8280	108.0671875	11.0777625969335	64.2255013736264	240	34
"8138"	46	8310	98.8738251879699	20.3925836065333	63.1492477805664	240	34
"8139"	46	8340	142.86875	32.9606592385774	61.3811575776144	240	34
"8140"	46	8370	139.75	22.297338149864	61.7248947770979	240	34
"8141"	46	8400	150.17578125	31.9502245182453	62.0172437808388	240	34
"8142"	46	8430	145	29.6261252281103	62.0295085714286	240	34
"8143"	46	8460	142.5	24.7625763152829	61.9827901785714	240	34
"8144"	46	8490	136.75	15.8541089506161	62.8143264358108	240	34
"8145"	46	8520	146.875	19.4796229253695	66.4307255475831	240	34
"8146"	46	8550	151.1640625	14.317585299069	72.973380938914	240	34
"8147"	46	8580	149.9296875	13.2394098811644	78.58564453125	240	34
"8148"	46	8610	154.453125	14.8116022069383	84.7971666666667	240	34
"8149"	46	8640	150.55859375	16.2927399111683	87.4141151668534	240	34
"8150"	46	8670	142.25	15.8665001621501	90.2294406960227	240	34
"8151"	46	8700	144.57421875	13.8129259876575	95.921176790149	240	34
"8152"	46	8730	141	14.3364793322344	97.3454610430743	240	34
